Pitcher,Resolved_Starts,Beat_Projection_Count,Beat_Projection_Rate,Mean_K_Residual,Median_K_Residual,Material_Crusher_Events,Material_Crusher_Rate,Report_Only,Production_Authority,Research_Version
Reid Detmers,1,1,1.0,5.695457211979475,5.695457211979475,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Cade Cavalli,2,2,1.0,5.059375164964646,5.059375164964646,2,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Shota Imanaga,1,1,1.0,4.681753329290379,4.681753329290379,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Chris Sale,1,1,1.0,3.5145405028303056,3.5145405028303056,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Aaron Nola,2,2,1.0,3.3075348894204177,3.3075348894204177,2,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Ian Seymour,2,2,1.0,3.21151256254819,3.21151256254819,2,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Dylan Cease,1,1,1.0,3.202057363826029,3.202057363826029,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Yoshinobu Yamamoto,1,1,1.0,3.0533993713053347,3.0533993713053347,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Kyle Harrison,1,1,1.0,3.0122020245658625,3.0122020245658625,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Brandon Pfaadt,2,2,1.0,2.9629154764134578,2.9629154764134578,2,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Emerson Hancock,1,1,1.0,2.93218204688724,2.93218204688724,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Jesús Luzardo,1,1,1.0,2.853306161722987,2.853306161722987,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Jared Jones,1,1,1.0,2.6304772431755072,2.6304772431755072,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Joey Cantillo,1,1,1.0,2.6006795148359236,2.6006795148359236,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Matthew Liberatore,2,2,1.0,2.5782806584270057,2.5782806584270057,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Chase Burns,2,2,1.0,2.480662184825445,2.480662184825445,2,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Hunter Dobbins,1,1,1.0,2.460023059707879,2.460023059707879,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Noah Cameron,1,1,1.0,2.2998926057775373,2.2998926057775373,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
